time (ms),Ia,Ib,Ic,L1,L2,L3,G
0,-23.85643324,-56.9898688,80.84630204,0,0,0,0
0.001,1.899847643,-72.88680633,70.98695868,0,0,0,0
0.002,27.47823111,-81.66499976,54.18676865,0,0,0,0
0.003,50.37097149,-82.44179067,32.07081917,0,0,0,0
0.004,68.32879196,-75.13482426,6.8060323,0,0,0,0
0.005,79.6006459,-60.47322415,-19.12742176,0,0,0,0
0.006,83.09452926,-39.90685851,-43.18767075,0,0,0,0
0.007,78.42918499,-15.41855006,-63.01063494,0,0,0,0
0.008,66.11016891,10.56964268,-76.6798116,0,0,0,0
0.009,47.29939556,35.52441983,-82.82381539,0,0,0,0
0.01,23.87344737,57.00684797,-80.88029535,0,0,0,0
0.011,-1.896616983,72.89832073,-71.00170375,0,0,0,0
0.012,-27.48135015,81.67210186,-54.19075172,0,0,0,0
0.013,-50.37567046,82.44389037,-32.06821991,0,0,0,0
0.014,-68.33855337,75.13976335,-6.801209981,0,0,0,0
0.015,-79.59174827,60.46811854,19.12362973,0,0,0,0
0.016,-83.09001413,39.90474631,43.18526783,0,0,0,0
0.017,-78.43929759,15.42300679,63.0162908,0,0,0,0
0.018,-66.11683183,-10.55746152,76.67429334,0,0,0,0
0.019,-47.31188262,-35.51567996,82.82756258,0,0,0,0
0.02,-23.87066627,-56.99483019,80.86549646,0,0,0,0
0.021,1.894406131,-72.90240014,71.00799401,0,0,0,0
0.022,27.47766301,-81.67731422,54.19965121,0,0,0,0
0.023,50.3769054,-82.45249874,32.07559335,0,0,0,0
0.024,68.34366261,-75.15892473,6.815262115,0,0,0,0
0.025,79.60703718,-60.48833772,-19.11869947,0,0,0,0
0.026,83.09126345,-39.90904218,-43.18222127,0,0,0,0
0.027,78.43944814,-15.42288191,-63.01656624,0,0,0,0
0.028,66.09711794,10.57492201,-76.67203995,0,0,0,0
0.029,47.29698295,35.52081095,-82.8177939,0,0,0,0
0.03,23.87647547,56.99654575,-80.87302122,0,0,0,0
0.031,-1.878017153,72.87685575,-70.99883859,0,0,0,0
0.032,-27.47437227,81.66013568,-54.18576341,0,0,0,0
0.033,-50.37444111,82.44205959,-32.06761848,0,0,0,0
0.034,-68.33812184,75.14372772,-6.805605874,0,0,0,0
0.035,-79.60601376,60.4798123,19.12620146,0,0,0,0
0.036,-83.08292453,39.90152152,43.18140301,0,0,0,0
0.037,-78.4313148,15.42073161,63.0105832,0,0,0,0
0.038,-66.1025143,-10.5733306,76.6758449,0,0,0,0
0.039,-47.29819291,-35.52165543,82.81984835,0,0,0,0
0.04,-23.87679282,-57.0044205,80.88121333,0,0,0,0
0.021,-1.544979796,-76.3275321,131.9879974,0,0,1,1
0.022,17.4482596,-91.66384096,164.4836735,0,0,1,1
0.023,38.30196801,-94.45340902,170.9645155,0,0,1,1
0.024,57.49327371,-85.91367204,151.5458861,0,0,1,1
0.025,72.16727393,-67.89126661,108.9777912,0,0,1,1
0.026,80.50039114,-42.4843437,48.24875271,0,0,1,1
0.027,81.37858857,-12.45554417,-24.24558318,0,0,1,1
